a deux crayon	ภาพถ่านแท่งทวิรงค์	๑๑ มี.ค. ๒๕๔๕
ใยแก้ว	fiberglass	๑๑ มี.ค. ๒๕๔๕
โรโกโก	rococo	๑๑ มี.ค. ๒๕๔๕
แม่แบบ, กระสวน	pattern	๑๑ มี.ค. ๒๕๔๕
แม่บท	motif	๑๑ มี.ค. ๒๕๔๕
แม่พิมพ์ยกเลิก	cancelled plate	๑๑ มี.ค. ๒๕๔๕
แม่พิมพ์หลัก	key block	๑๑ มี.ค. ๒๕๔๕
แม่พิมพ์ไม้ตัดตามขวาง	end-grain block	๑๑ มี.ค. ๒๕๔๕
แม่พิมพ์ชิ้น	piece mould	๑๑ มี.ค. ๒๕๔๕
แม่พิมพ์ทุบ	waste mould	๑๑ มี.ค. ๒๕๔๕
แม่พิมพ์ผ้าไหม	silk screen	๑๑ มี.ค. ๒๕๔๕
โรงทอพรมโบเว	Beauvais	๑๑ มี.ค. ๒๕๔๕
รมณียภาวะ	amenity	๑๑ มี.ค. ๒๕๔๕
มโนทัศนศิลป์	conceptual art	๑๑ มี.ค. ๒๕๔๕
เรืองรอง	luminous	๑๑ มี.ค. ๒๕๔๕
abacus	แป้นหัวเสา	๑๑ มี.ค. ๒๕๔๕
abbozzo	๑. ภาพร่าง<br/>๒. รูปโกลน	๑๑ มี.ค. ๒๕๔๕
ABC art	ศิลปะเบื้องต้น	๑๑ มี.ค. ๒๕๔๕
absorbent ground	พื้นซับสี	๑๑ มี.ค. ๒๕๔๕
abstract illusionism	คติลวงตานามธรรม	๑๑ มี.ค. ๒๕๔๕
abstract image painting	จิตรกรรมจินตภาพนามธรรม	๑๑ มี.ค. ๒๕๔๕
"<font class=""europe"">Abstraction-Création</font>"	อับสตรักซียง-เกรอาซียง	๑๑ มี.ค. ๒๕๔๕
abstract art	ศิลปะนามธรรม	๑๑ มี.ค. ๒๕๔๕
abstract expressionism	ลัทธิสำแดงพลังอารมณ์แนวนามธรรม	๑๑ มี.ค. ๒๕๔๕
academy figure	รูปคนตามหลักวิชา	๑๑ มี.ค. ๒๕๔๕
academy of art	สำนักศิลปะ	๑๑ มี.ค. ๒๕๔๕
academic art	ศิลปะตามหลักวิชา	๑๑ มี.ค. ๒๕๔๕
academicism	คตินิยมวิชาการ	๑๑ มี.ค. ๒๕๔๕
acanthus	ลายใบอะแคนทัส	๑๑ มี.ค. ๒๕๔๕
accent	การเน้นให้เด่น	๑๑ มี.ค. ๒๕๔๕
accidental colour	สีอุบัติการณ์	๑๑ มี.ค. ๒๕๔๕
accidental light	แสงอุบัติการณ์	๑๑ มี.ค. ๒๕๔๕
accordion door	บานเฟี้ยม	๑๑ มี.ค. ๒๕๔๕
acid resist	สารกันกรด	๑๑ มี.ค. ๒๕๔๕
acid bath	อ่างแช่กรด	๑๑ มี.ค. ๒๕๔๕
achromatic colour	สีอรงค์	๑๑ มี.ค. ๒๕๔๕
acoustic board	แผ่นซับเสียง	๑๑ มี.ค. ๒๕๔๕
acropolis	อัครปุระ	๑๑ มี.ค. ๒๕๔๕
acroteria; acroterion	เครื่องประดับมุมจั่ว	๑๑ มี.ค. ๒๕๔๕
acroterion; acroteria	เครื่องประดับมุมจั่ว	๑๑ มี.ค. ๒๕๔๕
acrylic canvas	ผ้าใบอะคริลิก	๑๑ มี.ค. ๒๕๔๕
action painting	กัมมันตจิตรกรรม	๑๑ มี.ค. ๒๕๔๕
ระเบียงฉันนบถ	cloister	๑๑ มี.ค. ๒๕๔๕
Adoration of the Magi	ภาพนักปราชญ์สักการะ	๑๑ มี.ค. ๒๕๔๕
Adoration of the Shepherds	ภาพคนเลี้ยงแกะสักการะ	๑๑ มี.ค. ๒๕๔๕
adornment	การประดับ	๑๑ มี.ค. ๒๕๔๕
adobe	๑. อิฐดิบ<br/>๒. อาคารอิฐดิบ	๑๑ มี.ค. ๒๕๔๕
advancing colour	สีใกล้	๑๑ มี.ค. ๒๕๔๕
ระดับสี	key	๑๑ มี.ค. ๒๕๔๕
ระดับอ่อนสี	tint	๑๑ มี.ค. ๒๕๔๕
ระดับคล้ำสี	shade	๑๑ มี.ค. ๒๕๔๕
ระบบมันเซลล์	Munsell system	๑๑ มี.ค. ๒๕๔๕
ร่วมสมัย	contemporary	๑๑ มี.ค. ๒๕๔๕
aedicula	ซุ้มบูชา	๑๑ มี.ค. ๒๕๔๕
เส้นแกน	axis	๑๑ มี.ค. ๒๕๔๕
เส้นกั้นสี	cloison	๑๑ มี.ค. ๒๕๔๕
เสา	column	๑๑ มี.ค. ๒๕๔๕
เสาแนบ	engaged column	๑๑ มี.ค. ๒๕๔๕
เสาอิง	pilaster	๑๑ มี.ค. ๒๕๔๕
ม้านั่งยาว	bench	๑๑ มี.ค. ๒๕๔๕
ม้านั่งเดี่ยว	stool	๑๑ มี.ค. ๒๕๔๕
เสานาวิกชัย	rostral column	๑๑ มี.ค. ๒๕๔๕
ม้านวมยาว	divan	๑๑ มี.ค. ๒๕๔๕
aerial perspective	ทัศนมิติเชิงอากาศ	๑๑ มี.ค. ๒๕๔๕
aesthetic	สุนทรีย์	๑๑ มี.ค. ๒๕๔๕
aesthetics	สุนทรียศาสตร์	๑๑ มี.ค. ๒๕๔๕
แสงอุบัติการณ์	accidental light	๑๑ มี.ค. ๒๕๔๕
African art	ศิลปะแอฟริกา	๑๑ มี.ค. ๒๕๔๕
after	ตามแบบอย่าง	๑๑ มี.ค. ๒๕๔๕
agalmatolite	หินตุ๊กตาจีน	๑๑ มี.ค. ๒๕๔๕
aghkandware	อาก์คันด์แวร์	๑๑ มี.ค. ๒๕๔๕
รอยกดร้อน	hot pressed (H.P.)	๑๑ มี.ค. ๒๕๔๕
รอยขูดขีดเขียน	graffiti	๑๑ มี.ค. ๒๕๔๕
รอยคร่ำ	patina	๑๑ มี.ค. ๒๕๔๕
รอยกรดกัด	biting	๑๑ มี.ค. ๒๕๔๕
รอยกรดกัดเปรอะ	foul biting	๑๑ มี.ค. ๒๕๔๕
รอยกรดกัดทะลุ	open bite	๑๑ มี.ค. ๒๕๔๕
รอยด้าน	bloom	๑๑ มี.ค. ๒๕๔๕
รอยพิมพ์	impression	๑๑ มี.ค. ๒๕๔๕
รอยพู่กันปัด	dragging stroke	๑๑ มี.ค. ๒๕๔๕
แอ่งกรดกัด	"<font class=""europe"">crevé</font>"	๑๑ มี.ค. ๒๕๔๕
air brush	พู่กันลม	๑๑ มี.ค. ๒๕๔๕
aisle	ช่องทางเดิน	๑๑ มี.ค. ๒๕๔๕
เอกรงค์	monochrome	๑๑ มี.ค. ๒๕๔๕
เอกรงค์เหลือง	cirage	๑๑ มี.ค. ๒๕๔๕
เอกรงค์เทา	grisaille	๑๑ มี.ค. ๒๕๔๕
เอกรงค์น้อยระดับ	camaieu	๑๑ มี.ค. ๒๕๔๕
โอจี	ogee(OG)	๑๑ มี.ค. ๒๕๔๕
เอชพี	H.P. (hot pressed)	๑๑ มี.ค. ๒๕๔๕
รอด, ตง, รา	joist	๑๑ มี.ค. ๒๕๔๕
แอตแลนทีส	atlantes	๑๑ มี.ค. ๒๕๔๕
Ajanta Cave painting	จิตรกรรมถ้ำอชันตา	๑๑ มี.ค. ๒๕๔๕
alabaster	หินอะลาบาสเตอร์	๑๑ มี.ค. ๒๕๔๕
alabastron	ขวดอะลาบาสตรอน	๑๑ มี.ค. ๒๕๔๕
alkaline glaze	การเคลือบด่าง	๑๑ มี.ค. ๒๕๔๕
all-over painting	จิตรกรรมเต็มผืน	๑๑ มี.ค. ๒๕๔๕
alla prima; au premier coup; direct painting	การระบายสีโดยตรง	๑๑ มี.ค. ๒๕๔๕
allegory	อุปมานิทัศน์	๑๑ มี.ค. ๒๕๔๕
alloy	โลหะเจือ	๑๑ มี.ค. ๒๕๔๕
Altamira Cave painting	จิตรกรรมถ้ำอัลตามีรา	๑๑ มี.ค. ๒๕๔๕
altar	แท่นบูชา	๑๑ มี.ค. ๒๕๔๕
altarpiece	ฉากประดับแท่นบูชา	๑๑ มี.ค. ๒๕๔๕
alto-rilievo; deep-relief; high relief	รูปนูนสูง	๑๑ มี.ค. ๒๕๔๕
aluminium paint	สีอะลูมิเนียม	๑๑ มี.ค. ๒๕๔๕
Amarna art	ศิลปะอะมาร์นา	๑๑ มี.ค. ๒๕๔๕
American abstract artists	กลุ่มศิลปินอเมริกันแนวนามธรรม	๑๑ มี.ค. ๒๕๔๕
American Gothic	กอทิกแบบอเมริกัน	๑๑ มี.ค. ๒๕๔๕
American scene painting	จิตรกรรมชีวิตอเมริกัน	๑๑ มี.ค. ๒๕๔๕
amenity	รมณียภาวะ	๑๑ มี.ค. ๒๕๔๕
amorino	เปมเทพ [เป-มะ-เทบ], อะมอริโน	๑๑ มี.ค. ๒๕๔๕
amphitheatre	ทวิอัฒจันทร์	๑๑ มี.ค. ๒๕๔๕
anaglyph	ลายนูน	๑๑ มี.ค. ๒๕๔๕
analytical cubism	บาศกนิยมแบบวิเคราะห์	๑๑ มี.ค. ๒๕๔๕
anamorphosis	ภาพเพี้ยน	๑๑ มี.ค. ๒๕๔๕
anastatic printing	กลวิธีพิมพ์กัดกรดส่วนนูน	๑๑ มี.ค. ๒๕๔๕
anatomy	กายวิภาคศาสตร์	๑๑ มี.ค. ๒๕๔๕
ancient	โบราณ	๑๑ มี.ค. ๒๕๔๕
รั้วพุทธสถาน	Buddhist railing	๑๑ มี.ค. ๒๕๔๕
รัศมี	aureole	๑๑ มี.ค. ๒๕๔๕
angel	ทูตสวรรค์, เทวทูต, นางฟ้า	๑๑ มี.ค. ๒๕๔๕
animal interlace	ลายสัตว์กระหวัด	๑๑ มี.ค. ๒๕๔๕
animal style	กระบวนแบบรูปสัตว์	๑๑ มี.ค. ๒๕๔๕
animism	วิญญาณนิยม	๑๑ มี.ค. ๒๕๔๕
ankh	อังก์	๑๑ มี.ค. ๒๕๔๕
Annunciation	ภาพการแจ้งข่าวการปฏิสนธิ	๑๑ มี.ค. ๒๕๔๕
anodized aluminium	อะลูมิเนียมชุบผิว	๑๑ มี.ค. ๒๕๔๕
anteroom	ห้องพักรอ	๑๑ มี.ค. ๒๕๔๕
anti-form	ปฏิลักษณ์	๑๑ มี.ค. ๒๕๔๕
anti-art	ปฏิศิลป์	๑๑ มี.ค. ๒๕๔๕
antic work	งานพิลึก	๑๑ มี.ค. ๒๕๔๕
antimony	พลวง	๑๑ มี.ค. ๒๕๔๕
antique	โบราณวัตถุ	๑๑ มี.ค. ๒๕๔๕
มัณฑนศิลป์	decorative art	๑๑ มี.ค. ๒๕๔๕
มัดหมี่	ikat	๑๑ มี.ค. ๒๕๔๕
มัดหมี่สองทาง	double ikat	๑๑ มี.ค. ๒๕๔๕
มัดหมี่ด้ายยืน	warp ikat	๑๑ มี.ค. ๒๕๔๕
มัดหมี่ด้ายพุ่ง	weft ikat	๑๑ มี.ค. ๒๕๔๕
รา, ตง, รอด	joist	๑๑ มี.ค. ๒๕๔๕
ภายลายปรุ	cartoon	๑๑ มี.ค. ๒๕๔๕
ภาวะอัตโนมัติ	automatism	๑๑ มี.ค. ๒๕๔๕
ยางแอสฟัลต์	asphalt	๑๑ มี.ค. ๒๕๔๕
รางแขวนภาพ	picture rail	๑๑ มี.ค. ๒๕๔๕
มิติกระดาษ	paper-dimension	๑๑ มี.ค. ๒๕๔๕
ภาพร่าง	abbozzo	๑๑ มี.ค. ๒๕๔๕
ภาพรอยพิมพ์	empreinte	๑๑ มี.ค. ๒๕๔๕
ภาพมองแหงน	sotto in su	๑๑ มี.ค. ๒๕๔๕
ภาพแม่พระ	Madonna	๑๑ มี.ค. ๒๕๔๕
ภาพเงาทึบ	silhouette	๑๑ มี.ค. ๒๕๔๕
ภาพมณฑล	mandala	๑๑ มี.ค. ๒๕๔๕
ภาพโบเดกอน	"<font class=""europe"">bodegón</font>"	๑๑ มี.ค. ๒๕๔๕
ภาพเพี้ยน	anamorphosis	๑๑ มี.ค. ๒๕๔๕
ภาพรื่นรมย์หรูหรา	"<font class=""europe"">Fête galante</font>"	๑๑ มี.ค. ๒๕๔๕
ภาพวาดเส้น	drawing	๑๑ มี.ค. ๒๕๔๕
ภาพวาดเส้นไล้น้ำ	wash drawing	๑๑ มี.ค. ๒๕๔๕
ภาพสังสันทน์	conversation piece	๑๑ มี.ค. ๒๕๔๕
ภาพสีม่านหมอก	sfumato	๑๑ มี.ค. ๒๕๔๕
ภาพหลอกตา	trompe l’oeil	๑๑ มี.ค. ๒๕๔๕
ภาพสลัดสี	blot drawing	๑๑ มี.ค. ๒๕๔๕
ภาพหุ่นนิ่ง	still life	๑๑ มี.ค. ๒๕๔๕
ภาพอาหารเช้า	breakfast piece	๑๑ มี.ค. ๒๕๔๕
ภาพล้อ	caricature	๑๑ มี.ค. ๒๕๔๕
ภาพการแจ้งข่าวการปฏิสนธิ	Annunciation	๑๑ มี.ค. ๒๕๔๕
ภาพการรบ	battle-piece	๑๑ มี.ค. ๒๕๔๕
ภาพถ่านแท่งทวิรงค์	a deux crayon	๑๑ มี.ค. ๒๕๔๕
ภาพทิวทัศน์เมือง	townscape	๑๑ มี.ค. ๒๕๔๕
ภาพทิวทัศน์ทะเล	seascape	๑๑ มี.ค. ๒๕๔๕
ภาพทิวทัศน์บก	landscape	๑๑ มี.ค. ๒๕๔๕
ภาพทาบสี	decal; decalcomania	๑๑ มี.ค. ๒๕๔๕
ภาพนักปราชญ์สักการะ	Adoration of the Magi	๑๑ มี.ค. ๒๕๔๕
ภาพนางในฮาเร็ม	odalisque	๑๑ มี.ค. ๒๕๔๕
ภาพคนเลี้ยงแกะสักการะ	Adoration of the Shepherds	๑๑ มี.ค. ๒๕๔๕
ภาพชีวิตประจำวัน	genre painting	๑๑ มี.ค. ๒๕๔๕
ภาพประดับตู้	cabinet picture	๑๑ มี.ค. ๒๕๔๕
ภาพปริทัศน์	panorama	๑๑ มี.ค. ๒๕๔๕
ภาพปะกระดาษ	"<font class=""europe"">papier collé</font>"	๑๑ มี.ค. ๒๕๔๕
ภาพปะติด	collage	๑๑ มี.ค. ๒๕๔๕
ภาพปูนแห้ง	secco	๑๑ มี.ค. ๒๕๔๕
ภาพปูนเปียก	fresco	๑๑ มี.ค. ๒๕๔๕
ภาพผนังขูด	graffito; sgraffito	๑๑ มี.ค. ๒๕๔๕
ภาพผนังขูด	sgraffito; graffito	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์เอกเลขน์	monographic	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์มัชฌิมรงค์	mezzotint	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์มัชฌิมรงค์อย่างสีน้ำ	aquatint mezzotint	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์ยางแกะ	linocut	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์โลหะ	metal graphic	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์แกะลายเส้น	line engraving	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์แกะลายปรุ	stipple engraving	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์แกะไม้	woodcut	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์แกะไม้ค่าต่างแสง	chiaroscuro woodcut	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์แบบเขียนถ่าน	crayon engraving; crayon manner	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์แบบเบะนิเอะ	beni-e	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์แผ่นเดียว	monoprint; monotype	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์สี	colour print	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์สีลายฉลุ	pochoir	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์อย่างสีน้ำ	aquatint	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์ลายแกะ	engraving	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์ลายแกะไม้	wood engraving	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์ลายจุด	"<font class=""europe"">manière criblée</font>; dotted manner"	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์กัดกรด	etching	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์กัดกรดพื้นนิ่ม	soft-ground etching	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์กดกระดาษ	paste print	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์จารเข็ม	drypoint	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์ต้นแบบ	original print	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์ถ่ายกระจก	"<font class=""europe"">cliché-verre</font>; glass print"	๑๑ มี.ค. ๒๕๔๕
ภาพพิมพ์ผ้าไหม	silk screen	๑๑ มี.ค. ๒๕๔๕
ภาพพิสูจน์แม่พิมพ์	counter proof	๑๑ มี.ค. ๒๕๔๕
ภาพพิสูจน์ของศิลปิน	artist’s proof	๑๑ มี.ค. ๒๕๔๕
apartment; flat	ห้องชุด	๑๑ มี.ค. ๒๕๔๕
applied art	ศิลปะประยุกต์	๑๑ มี.ค. ๒๕๔๕
"<font class=""europe"">appliqué</font>"	งานผ้าปะติด	๑๑ มี.ค. ๒๕๔๕
aquatint	๑. กลวิธีพิมพ์อย่างสีน้ำ<br/>๒. ภาพพิมพ์อย่างสีน้ำ	๑๑ มี.ค. ๒๕๔๕
aquatint mezzotint	๑. กลวิธีพิมพ์มัชฌิมรงค์อย่างสีน้ำ<br/>๒. ภาพพิมพ์มัชฌิมรงค์อย่างสีน้ำ	๑๑ มี.ค. ๒๕๔๕
aqueduct	ลำรางส่งน้ำ	๑๑ มี.ค. ๒๕๔๕
apse	มุขโค้งด้านสกัด	๑๑ มี.ค. ๒๕๔๕
arabesque	ลายอะราเบสก์	๑๑ มี.ค. ๒๕๔๕
arcade	ฉันนบถ	๑๑ มี.ค. ๒๕๔๕
arch	ช่องโค้ง	๑๑ มี.ค. ๒๕๔๕
architectonic	สถาปัตยลักษณ์	๑๑ มี.ค. ๒๕๔๕
architecture	สถาปัตยกรรม	๑๑ มี.ค. ๒๕๔๕
architrave	๑. หน้ากระดานทับหลัง<br/>๒. บัวปิดแนววงกบ	๑๑ มี.ค. ๒๕๔๕
archaic	๑. ใกล้คลาสสิก<br/>๒. โบราณ	๑๑ มี.ค. ๒๕๔๕
Archaic period	สมัยอาร์เคอิก	๑๑ มี.ค. ๒๕๔๕
archaistic	เชิงโบราณ	๑๑ มี.ค. ๒๕๔๕
armature	โครงหุ่นปั้น	๑๑ มี.ค. ๒๕๔๕
armchair	เก้าอี้เท้าแขน	๑๑ มี.ค. ๒๕๔๕
arm palette	จานสีพาดแขน	๑๑ มี.ค. ๒๕๔๕
Armory Show	อาร์เมอรีโชว์	๑๑ มี.ค. ๒๕๔๕
art for art’s sake	ศิลปะเพื่อศิลปะ	๑๑ มี.ค. ๒๕๔๕
art informel	ศิลปะนอกแบบ	๑๑ มี.ค. ๒๕๔๕
art mobilier; furnishing art	สังหาริมศิลป์	๑๑ มี.ค. ๒๕๔๕
art nouveau; Jugendstil; modern style; modernista; noodle style; stile liberti	นวศิลป์	๑๑ มี.ค. ๒๕๔๕
arte povera; impoverished art	ศิลปะสมถะ	๑๑ มี.ค. ๒๕๔๕
artefact; artifact	สิ่งประดิษฐ์	๑๑ มี.ค. ๒๕๔๕
art	ศิลปะ	๑๑ มี.ค. ๒๕๔๕
art and craft	ศิลปหัตถกรรม	๑๑ มี.ค. ๒๕๔๕
Art and Craft Movement	ขบวนการศิลปหัตถกรรม	๑๑ มี.ค. ๒๕๔๕
art appreciation	ศิลปวิจักษณ์	๑๑ มี.ค. ๒๕๔๕
art brut	ศิลปะดิบ	๑๑ มี.ค. ๒๕๔๕
art criticism	ศิลปวิจารณ์	๑๑ มี.ค. ๒๕๔๕
art dealing	การค้างานศิลปะ	๑๑ มี.ค. ๒๕๔๕
art deco	อลังการศิลป์	๑๑ มี.ค. ๒๕๔๕
artifact; artefact	สิ่งประดิษฐ์	๑๑ มี.ค. ๒๕๔๕
artisan	ช่างศิลป์	๑๑ มี.ค. ๒๕๔๕
artist	ศิลปิน	๑๑ มี.ค. ๒๕๔๕
asbestos cement board	แผ่นใยหิน	๑๑ มี.ค. ๒๕๔๕
Artist’s Congress	สภาศิลปิน	๑๑ มี.ค. ๒๕๔๕
artist’s proof	ภาพพิสูจน์ของศิลปิน	๑๑ มี.ค. ๒๕๔๕
artistic anatomy	กายวิภาคทางศิลปะ	๑๑ มี.ค. ๒๕๔๕
artwork	งานศิลป์, อาร์ตเวิร์ก	๑๑ มี.ค. ๒๕๔๕
ash glaze	การเคลือบขี้เถ้า	๑๑ มี.ค. ๒๕๔๕
Ashcan school	สกุลศิลปะแอชแคน	๑๑ มี.ค. ๒๕๔๕
assemblage	การผสมผเส	๑๑ มี.ค. ๒๕๔๕
asphalt	ยางแอสฟัลต์	๑๑ มี.ค. ๒๕๔๕
associationism	สังยุกตนิยม	๑๑ มี.ค. ๒๕๔๕
asymmetry	อสมมาตร	๑๑ มี.ค. ๒๕๔๕
atelier	ห้องปฏิบัติงานศิลปะ	๑๑ มี.ค. ๒๕๔๕
atelier libre	ห้องปฏิบัติงานศิลปะเสรี	๑๑ มี.ค. ๒๕๔๕
atlantes	แอตแลนทีส	๑๑ มี.ค. ๒๕๔๕
atmospheric perspective	ทัศนมิติเชิงบรรยากาศ	๑๑ มี.ค. ๒๕๔๕
atrium	ลานกลางอาคาร	๑๑ มี.ค. ๒๕๔๕
attribute	คุณลักษณะ	๑๑ มี.ค. ๒๕๔๕
au premier coup; alla prima; direct painting	การระบายสีโดยตรง	๑๑ มี.ค. ๒๕๔๕
attribution	สิ่งบ่งชี้	๑๑ มี.ค. ๒๕๔๕
ภูมิศิลป์	earth art	๑๑ มี.ค. ๒๕๔๕
ภูมิลักษณ์, ลักษณะภูมิประเทศ	topography	๑๑ มี.ค. ๒๕๔๕
ภูมิทัศน์	landscape	๑๑ มี.ค. ๒๕๔๕
aureole	รัศมี	๑๑ มี.ค. ๒๕๔๕
Australian Aboriginal art	ศิลปะชนดั้งเดิมออสเตรเลีย	๑๑ มี.ค. ๒๕๔๕
auricular style	กระบวนแบบใบหู	๑๑ มี.ค. ๒๕๔๕
autodestructive art	ศิลปะสลายตัว	๑๑ มี.ค. ๒๕๔๕
autograph	อัตเลขน์	๑๑ มี.ค. ๒๕๔๕
automatism	ภาวะอัตโนมัติ	๑๑ มี.ค. ๒๕๔๕
รูปเว้า	cavo-rilievo; hollow relief; incised relief; intaglio rilevato	๑๑ มี.ค. ๒๕๔๕
รูปเว้า	hollow relief; cavo-rilievo; incised relief; intaglio rilevato	๑๑ มี.ค. ๒๕๔๕
รูปเห็นรอบตัว	free-standing	๑๑ มี.ค. ๒๕๔๕
รูปโกลน	abbozzo	๑๑ มี.ค. ๒๕๔๕
รูปเคารพ	icon	๑๑ มี.ค. ๒๕๔๕
รูปแบบ	form	๑๑ มี.ค. ๒๕๔๕
รูปลำตัว	torso	๑๑ มี.ค. ๒๕๔๕
รูปคนตามหลักวิชา	academy figure	๑๑ มี.ค. ๒๕๔๕
รูปตริภังค์	contrapposto; contraposto	๑๑ มี.ค. ๒๕๔๕
รูปคนเหมือน	portrait	๑๑ มี.ค. ๒๕๔๕
รูปตั้ง	elevation	๑๑ มี.ค. ๒๕๔๕
รูปตัด	section	๑๑ มี.ค. ๒๕๔๕
รูปตัดตามยาว	longitudinal section	๑๑ มี.ค. ๒๕๔๕
รูปตัดตามขวาง	cross section	๑๑ มี.ค. ๒๕๔๕
รูปตามอำเภอใจ	capriccio	๑๑ มี.ค. ๒๕๔๕
รูปถ่ายแบบ	copy	๑๑ มี.ค. ๒๕๔๕
รูปนูนปานกลาง	demi relief; mezzo-rilievo; middle relief	๑๑ มี.ค. ๒๕๔๕
รูปปีเอตา	"<font class=""europe"">pietà</font>"	๑๑ มี.ค. ๒๕๔๕
รูปนูน	relief	๑๑ มี.ค. ๒๕๔๕
รูปนูนสีต่างพื้น	cameo	๑๑ มี.ค. ๒๕๔๕
รูปนูนสูง	alto-rilievo; deep-relief; high relief	๑๑ มี.ค. ๒๕๔๕
รูปนูนต่ำ	bas-relief; bosso-rilievo; low relief	๑๑ มี.ค. ๒๕๔๕
รูปนูนบาง	crushed relief; rilievo-schiacciato; rilievo-stiacciato	๑๑ มี.ค. ๒๕๔๕
รูปถอดแบบ	replica	๑๑ มี.ค. ๒๕๔๕
รูปทรง	form	๑๑ มี.ค. ๒๕๔๕
รูปทรงหลังเบี้ย	cabochon	๑๑ มี.ค. ๒๕๔๕
รูปทรงอิสระ	free form	๑๑ มี.ค. ๒๕๔๕
รูปทรงไม้กางเขน	cruciform	๑๑ มี.ค. ๒๕๔๕
avant-garde	กลุ่มล้ำยุค	๑๑ มี.ค. ๒๕๔๕
aventurine glaze	การเคลือบเกล็ดประกาย	๑๑ มี.ค. ๒๕๔๕
axis	เส้นแกน	๑๑ มี.ค. ๒๕๔๕
โลหะเจือ	alloy	๑๑ มี.ค. ๒๕๔๕
แลกเกอร์	lacquer	๑๑ มี.ค. ๒๕๔๕
